anno;Dim;Nart;volume
1965;2396;251;V2
1966;1934;210;V4
1967;1923;212;V7
1968;1865;196;V10
1969;1298;132;V13
1970;1716;176;V16
1971;2082;207;V20
1972;2137;210;V24
1973;2052;215;V28
1974;2204;210;V30
1975;2934;277;V32
1976;2442;238;V34
1977;925;92;V35
1978;1445;145;V36
1979;1915;194;V37
1980;1994;201;V39
1981;2116;209;V41
1982;2304;227;V43
1983;2515;246;V45
1984;2369;237;V47
1985;3063;300;V49
1986;2876;281;V51
1987;2462;243;V53
1988;2156;193;V55
1989;1996;185;V57
1990;2140;208;V59
1991;1787;171;V61
1992;1840;169;V63
1993;1971;182;V65
1994;1935;169;V67
1995;2110;182;V69
1996;2027;182;V71
1997;2496;215;V73
1998;2629;222;V75
1999;1833;158;V77
2000;1761;149;V79
2001;1844;153;V81
2002;1985;165;V83
2003;2088;173;V85
2004;1379;118;V87
2005;1624;133;V89
2006;1839;143;V91
2007;1690;141;V93
2008;2143;165;V95
2009;1962;152;V97
2010;1660;136;V99
2011;2091;159;V101
2012;1745;141;V103
2013;1565;121;V105
2014;1460;118;V107
2015;1501;121;V109
2016;1285;104;V111
2017;1369;106;V113
2018;2015;154;V115
2019;2194;164;V117
2020;2250;170;V119
2021;1137;91;V121
