anno;tot;testi
1830;206469;3
1831;49539;1
1832;247297;4
1833;257392;5
1834;250954;3
1835;32523;1
1836;186649;2
1837;202858;5
1838;437252;7
1839;341501;5
1840;75580;2
1841;187823;2
1842;303420;4
1843;159277;3
1844;241742;5
1845;117443;2
1846;102813;2
1847;221882;3
1848;80965;2
1849;184825;3
1850;187264;2
1851;219819;4
1852;151180;2
1853;302080;4
1854;218388;2
1855;551430;7
1856;241713;6
1857;433782;6
1858;455536;7
1859;241327;4
1860;350538;5
1861;194301;5
1862;394057;5
1863;289404;6
1864;446261;5
1865;344401;6
1866;353914;6
1867;363492;6
1868;290764;5
1869;387166;6
1870;453298;5
1871;243909;5
1872;394322;5
1873;291806;5
1874;259823;6
1875;396678;6
1876;332713;6
1877;561370;6
1878;221702;5
1879;281742;6
1880;180323;4
1881;441878;5
1882;240252;5
1883;330237;6
1884;348640;6
1885;390822;5
1886;411234;6
1887;275982;6
1888;322968;6
1889;497793;6
1890;359237;6
1891;373984;6
1892;242924;5
1893;456345;6
1894;360038;5
1895;302972;5
1896;273301;6
1897;269486;6
1898;371362;5
1899;364073;6
1900;399536;6
1901;430634;6
1902;317669;6
1903;228077;5
1904;356812;6
1905;333948;5
1906;457749;6
1907;296446;6
1908;354556;6
1909;312586;5
1910;363908;6
1911;439174;6
1912;349983;6
1913;526776;6
1914;280998;6
1915;236549;4
1916;291473;5
1917;238877;4
1918;235399;6
1919;277262;6
1920;227825;6
1921;269753;6
1922;271730;6
1923;541424;6
1924;179470;4
1925;244294;5
1926;245814;6
1927;365574;5
1928;127666;3
1929;262675;6
1930;396964;6
