FORMA	LEMMA	CATEGORIA
accademia militare	accademia militare	military (place)
accademia militare	accademie militari	military (place)
accampamento	accampamento	military (place)
accampamenti	accampamento	military (place)
arsenale	arsenale	military (place)
arsenali	arsenale	military (place)
avamposto	avamposto	military (place)
avamposti	avamposto	military (place)
base aerea	base aerea	military (place)
basi aeree	base aerea	military (place)
base militare	base militare	military (place)
basi militari	base militare	military (place)
bunker	bunker	military (place)
bunkers	bunker	military (place)
campo base	campo base	military (place)
campi base	campo base	military (place)
casamatta	casamatta	military (place)
casematte	casamatta	military (place)
caserma	caserma	military (place)
caserme	caserma	military (place)
latteria	latteria	commercial (place)
latterie	latteria	commercial (place)
lavanderia	lavanderia	commercial (place)
lavanderie	lavanderia	commercial (place)
libreria	libreria	commercial (place)
librerie	libreria	commercial (place)
locanda	locanda	commercial (place)
locande	locanda	commercial (place)
macelleria	macelleria	commercial (place)
macellerie	macelleria	commercial (place)
merceria	merceria	commercial (place)
mercerie	merceria	commercial (place)
mescita	mescita	commercial (place)
mescite	mescita	commercial (place)
motel	motel	commercial (place)
motels	motel	commercial (place)
negozio	negozio	commercial (place)
negozi	negozio	commercial (place)
circolo ufficiali	circolo ufficiali	military (place)
circoli ufficiali	circolo ufficiali	military (place)
oreficeria	oreficeria	commercial (place)
oreficerie	oreficeria	commercial (place)
ostello	ostello	commercial (place)
ostelli	ostello	commercial (place)
osteria	osteria	commercial (place)
osterie	osteria	commercial (place)
ottica	ottica	commercial (place)
ottiche	ottica	commercial (place)
palestra	palestra	commercial (place)
palestre	palestra	commercial (place)
panetteria	panetteria	commercial (place)
panetterie	panetteria	commercial (place)
panificio	panificio	commercial (place)
panifici	panificio	commercial (place)
paninoteca	paninoteca	commercial (place)
paninoteche	paninoteca	commercial (place)
fortezza	fortezza	military (place)
fortezze	fortezza	military (place)
pasticceria	pasticceria	commercial (place)
pasticcerie	pasticceria	commercial (place)
pastificio	pastificio	commercial (place)
pastifici	pastificio	commercial (place)
pensione	pensione	commercial (place)
pensioni	pensione	commercial (place)
pensioncina	pensione	commercial (place)
pensioncine	pensione	commercial (place)
pescheria	pescheria	commercial (place)
pescherie	pescheria	commercial (place)
pizzeria	pizzeria	commercial (place)
pizzerie	pizzeria	commercial (place)
postribolo	postribolo	commercial (place)
postriboli	postribolo	commercial (place)
profumeria	profumeria	commercial (place)
profumerie	profumeria	commercial (place)
pub	pub	commercial (place)
pubs	pub	commercial (place)
fortificazione	fortificazione	military (place)
fortificazioni	fortificazione	military (place)
resort	resort	commercial (place)
resorts	resort	commercial (place)
ristorante	ristorante	commercial (place)
ristoranti	ristorante	commercial (place)
ristorantino	ristorante	commercial (place)
ristorantini	ristorante	commercial (place)
rosticceria	rosticceria	commercial (place)
rosticcerie	rosticceria	commercial (place)
sala da bowling	sala da bowling	commercial (place)
sale da bowling	sala da bowling	commercial (place)
salone di bellezza	salone di bellezza	commercial (place)
saloni di bellezza	salone di bellezza	commercial (place)
salone per tatuaggi	salone per tatuaggi	commercial (place)
saloni per tatuaggi	salone per tatuaggi	commercial (place)
salumeria	salumeria	commercial (place)
salumerie	salumeria	commercial (place)
sartoria	sartoria	commercial (place)
sartorie	sartoria	commercial (place)
fortino	fortino	military (place)
fortini	fortino	military (place)
sfasciacarrozze	sfasciacarrozze	commercial (place)
sfasciacarrozze	sfasciacarrozze	commercial (place)
spaccio alimentare	spaccio alimentare	commercial (place)
spacci alimentari	spaccio alimentare	commercial (place)
studio fotografico	studio fotografico	commercial (place)
studi fotografici	studio fotografico	commercial (place)
studio legale	studio legale	commercial (place)
studi legali	studio legale	commercial (place)
supermercato	supermercato	commercial (place)
supermercati	supermercato	commercial (place)
sushi bar	sushi bar	commercial (place)
sushi bars	sushi bar	commercial (place)
tabaccheria	tabaccheria	commercial (place)
tabaccherie	tabaccheria	commercial (place)
tavola calda	tavola calda	commercial (place)
tavole calde	tavola calda	commercial (place)
fureria	fureria	military (place)
furerie	fureria	military (place)
tintoria	tintoria	commercial (place)
tintorie	tintoria	commercial (place)
trattoria	trattoria	commercial (place)
trattorie	trattoria	commercial (place)
videodiscoteca	videodiscoteca	commercial (place)
videodiscoteche	videodiscoteca	commercial (place)
vineria	vineria	commercial (place)
vinerie	vineria	commercial (place)
appartamento	appartamento	civil (place)
appartamenti	appartamento	civil (place)
appartamentino	appartamento	civil (place)
appartamentini	appartamento	civil (place)
garitta	garitta	military (place)
garitte	garitta	military (place)
attico	attico	civil (place)
attici	attico	civil (place)
atticuccio	attico	civil (place)
atticucci	attico	civil (place)
baglio	baglio	rural (place)
bagli	baglio	rural (place)
baracca	baracca	civil (place)
baracche	baracca	civil (place)
baracchina	baracca	civil (place)
baracchine	baracca	civil (place)
baracchino	baracca	civil (place)
baracchini	baracca	civil (place)
baracchetta	baracca	civil (place)
baracchette	baracca	civil (place)
bicocca	bicocca	civil (place)
bicocche	bicocca	civil (place)
bilocale	bilocale	civil (place)
bilocali	bilocale	civil (place)
bivacco	bivacco	rural (place)
bivacchi	bivacco	rural (place)
guardiola	guardiola	military (place)
guardiole	guardiola	military (place)
bugigattolo	bugigattolo	civil (place)
bugigattoli	bugigattolo	civil (place)
campo rom	campo rom	civil (place)
campi rom	campo rom	civil (place)
casa a ballatoio	casa a ballatoio	civil (place)
case a ballatoio	casa a ballatoio	civil (place)
casa a blocco	casa a blocco	civil (place)
case a blocco	casa a blocco	civil (place)
casa a corridoio	casa a corridoio	civil (place)
case a corridoio	casa a corridoio	civil (place)
casa a corte	casa a corte	civil (place)
case a corte	casa a corte	civil (place)
casa a fossa	casa a fossa	civil (place)
case a fossa	casa a fossa	civil (place)
hangar	hangar	military (place)
hangars	hangar	military (place)
casa a galleria	casa a galleria	civil (place)
case a galleria	casa a galleria	civil (place)
casa a gradone	casa a gradone	civil (place)
case a gradone	casa a gradone	civil (place)
casa a graticcio	casa a graticcio	civil (place)
case a graticcio	casa a graticcio	civil (place)
casa a schiera	casa a schiera	civil (place)
case a schiera	casa a schiera	civil (place)
casa a spina	casa a spina	civil (place)
case a spina	casa a spina	civil (place)
casa a torre	casa a torre	civil (place)
case a torre	casa a torre	civil (place)
casa bandeirista	casa bandeirista	civil (place)
case bandeiriste	casa bandeirista	civil (place)
casa binata	casa binata	civil (place)
case binate	casa binata	civil (place)
casa campidanese	casa campidanese	civil (place)
case campidanesi	casa campidanese	civil (place)
ospedale militare	ospedale militare	military (place)
ospedali militari	ospedale militare	military (place)
casa con patio	casa con patio	civil (place)
case con patio	casa con patio	civil (place)
casa di città	casa di città	civil (place)
case di città	casa di città	civil (place)
casetta di città	casa di città	civil (place)
casette di città	casa di città	civil (place)
casa di ringhiera	casa di ringhiera	civil (place)
case di ringhiera	casa di ringhiera	civil (place)
casa galleggiante	casa galleggiante	civil (place)
case galleggianti	casa galleggiante	civil (place)
casa in linea	casa in linea	civil (place)
case in linea	casa in linea	civil (place)
casa indipendente	casa indipendente	civil (place)
case indipendenti	casa indipendente	civil (place)
casa mobile	casa mobile	civil (place)
case mobili	casa mobile	civil (place)
casa per ferie	casa per ferie	civil (place)
case per ferie	casa per ferie	civil (place)
casa popolare	casa popolare	civil (place)
case popolari	casa popolare	civil (place)
casa raggruppata	casa raggruppata	civil (place)
case raggruppate	casa raggruppata	civil (place)
piazza d’arme	piazza d’arme	military (place)
piazze d’arme	piazza d’arme	military (place)
piazza d'armi	piazza d’arme	military (place)
piazze d'armi	piazza d’arme	military (place)
casa romana	casa romana	civil (place)
case romane	casa romana	civil (place)
casa semi - indipendente	casa semi - indipendente	civil (place)
casa signorile	casa signorile	civil (place)
case signorili	casa signorile	civil (place)
casa singola	casa singola	civil (place)
case singole	casa singola	civil (place)
casa sovrapposta	casa sovrapposta	civil (place)
case sovrapposte	casa sovrapposta	civil (place)
casa vacanze	casa vacanze	civil (place)
case vacanze	casa vacanze	civil (place)
casa vittoriana	casa vittoriana	civil (place)
case vittoriane	casa vittoriana	civil (place)
casamento	casamento	civil (place)
casamenti	casamento	civil (place)
casatorre	casatorre	civil (place)
casetorri	casatorre	civil (place)
caseggiato	caseggiato	civil (place)
caseggiati	caseggiato	civil (place)
casello	casello	civil (place)
caselli	casello	civil (place)
caserella	caserella	civil (place)
caserelle	caserella	civil (place)
casermone	casermone	civil (place)
casermoni	casermone	civil (place)
casetta	casetta	civil (place)
casette	casetta	civil (place)
casa da giardino	casa da giardino	civil (place)
case da giardino	casa da giardino	civil (place)
casettino	casettino	civil (place)
casettini	casettino	civil (place)
casino	casino	civil (place)
