Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
effect;46;37;33;46;29;39;59;55;44;54;69;49;19;28;39;33;36;27;34;34;41;47;30;26;33;23;21;25;30;20;23;23;24;24;18;14;19;19;13;14;17;20;10;18;15;25;11;17;10;10;17;4;7;13;12;16;9
person;10;18;15;9;7;11;13;15;15;12;16;15;4;4;13;17;20;22;20;23;26;33;25;23;18;18;13;13;24;13;20;17;20;19;6;20;11;16;12;13;13;16;9;9;18;11;13;9;12;13;11;7;13;20;21;8;9
behavior;18;16;11;21;13;26;16;20;14;24;21;20;12;8;19;19;15;21;15;12;15;21;10;5;9;9;10;11;12;14;6;7;13;11;8;12;9;6;10;5;5;5;7;9;11;9;8;13;11;8;7;1;2;7;7;8;6
self;10;3;5;9;1;7;4;2;9;7;5;5;6;3;14;8;8;10;20;16;17;20;15;14;12;17;15;19;13;8;18;26;18;20;13;13;16;17;26;9;9;13;14;14;20;14;10;10;12;13;4;3;2;9;15;4;6
social;16;10;14;12;7;4;10;6;7;9;12;15;6;7;6;9;7;13;18;17;15;12;19;11;12;9;13;8;7;19;12;11;6;9;10;8;12;7;11;6;4;6;11;9;11;5;13;10;11;5;12;6;7;7;12;20;4
group;15;11;8;11;5;5;10;8;9;8;17;13;1;5;1;11;12;6;7;13;14;11;8;7;5;12;6;9;8;8;11;15;20;28;9;13;11;13;8;7;15;11;16;13;10;10;3;4;5;7;3;5;4;6;11;11;4
role;0;3;3;8;0;2;5;11;7;7;8;2;3;6;10;8;11;6;12;11;14;17;13;8;11;10;6;9;12;10;9;4;16;8;7;10;11;14;11;5;8;9;8;14;12;9;5;6;10;1;3;6;1;5;8;6;2
respons;14;11;13;13;9;12;12;10;17;9;17;15;5;12;19;7;8;13;8;11;10;16;7;4;4;6;3;7;9;5;5;4;4;10;1;3;6;3;4;2;3;11;5;8;2;5;4;9;5;5;2;5;0;3;5;6;2
model;4;5;8;6;6;10;10;14;4;8;8;9;1;11;9;7;6;7;12;9;9;6;11;5;8;8;13;7;6;9;13;11;9;9;11;5;5;8;7;4;2;4;9;12;7;3;5;3;4;3;1;5;6;7;4;3;3
affect;6;5;4;6;3;8;7;8;5;10;8;4;1;3;5;7;10;13;5;11;8;11;9;7;9;12;3;11;11;6;6;4;8;11;11;5;5;5;15;5;3;7;6;11;2;7;7;5;3;4;4;3;0;5;4;3;2
motiv;3;2;0;5;5;4;6;6;5;8;7;2;3;3;3;7;7;4;12;6;9;8;10;4;3;5;5;4;9;7;6;5;8;12;5;5;6;14;4;6;6;9;7;9;9;14;10;13;7;10;6;3;3;1;4;8;6
cognit;8;3;9;5;4;6;5;6;5;7;15;5;3;5;6;6;15;14;8;16;13;11;12;7;12;13;3;4;9;4;5;4;6;12;6;11;3;3;6;5;2;3;5;6;6;2;5;5;2;1;8;1;3;5;1;1;0
relationship;9;4;5;6;5;4;4;3;11;4;6;3;1;3;8;3;8;3;4;5;5;12;4;6;5;7;11;5;6;6;4;4;9;12;6;7;4;5;7;4;5;7;4;11;7;12;8;5;4;7;13;5;4;13;7;9;7
attitud;22;13;9;5;8;5;17;14;14;8;15;6;0;5;10;4;10;2;9;6;7;6;7;5;1;4;2;6;11;3;9;6;5;4;1;5;9;6;0;7;7;2;9;8;3;2;3;5;6;2;1;1;2;0;2;5;3
function;20;16;10;13;16;10;14;17;9;12;21;13;4;5;4;4;4;8;6;3;5;5;4;4;2;7;1;3;1;5;5;2;3;4;3;6;2;3;4;2;7;3;3;1;2;4;4;1;3;1;7;2;1;1;3;2;0
relat;6;8;3;6;2;3;3;2;3;0;5;4;0;2;5;3;4;5;11;5;11;12;9;12;9;4;5;5;10;7;4;7;8;14;5;7;7;8;10;5;8;5;4;5;3;3;5;2;8;9;3;3;2;3;7;5;3
emot;1;1;0;5;1;0;2;3;0;4;3;0;1;0;5;5;10;7;3;5;6;7;14;5;7;9;8;9;5;3;9;7;8;9;8;7;11;10;10;7;4;7;7;7;5;7;10;6;4;9;7;4;3;7;6;5;2
process;4;1;1;3;2;3;5;3;2;5;3;4;3;6;3;7;1;8;6;10;9;2;12;9;6;11;8;2;11;9;14;7;10;11;11;7;5;9;5;7;5;5;3;8;6;3;9;3;5;0;2;2;1;3;3;4;1
inform;8;4;10;7;4;6;7;12;8;7;12;13;7;4;12;6;5;10;7;7;8;2;7;9;5;11;7;3;8;3;3;3;6;8;4;6;7;2;5;0;2;5;0;9;2;1;3;4;3;0;2;0;2;4;3;0;0
attribut;1;0;1;1;4;2;8;6;11;7;16;14;6;7;18;8;9;16;9;16;9;12;16;10;6;15;3;5;5;4;2;5;0;4;6;3;4;3;0;3;4;2;2;1;0;2;1;1;0;1;1;1;0;2;1;2;0
test;0;4;1;5;4;7;8;7;3;6;6;11;3;4;3;5;5;9;6;10;6;6;11;9;7;6;7;7;3;10;9;8;7;7;4;1;2;4;7;0;3;3;0;8;5;3;1;2;3;2;3;2;1;9;8;10;0
theori;1;1;2;3;2;3;6;7;10;9;8;10;4;9;9;9;8;15;6;8;10;9;12;5;3;6;2;8;5;3;4;4;9;7;5;8;5;3;5;1;0;3;1;4;4;1;3;4;0;3;2;4;3;3;3;9;0
influenc;11;4;3;2;3;3;8;3;4;4;11;6;1;6;3;3;2;8;7;7;5;10;8;3;7;7;8;4;4;6;6;4;10;9;3;9;5;3;8;3;2;7;3;2;8;6;11;6;1;2;3;1;2;3;3;6;0
chang;5;3;6;3;3;7;7;2;6;7;5;9;3;1;4;1;5;8;4;3;4;6;1;4;3;5;4;6;5;7;6;1;7;4;5;4;2;4;6;0;6;2;2;6;9;4;10;5;6;5;2;6;7;8;11;10;5
predict;3;3;2;5;1;1;3;1;1;3;3;4;3;4;5;4;4;4;5;3;7;7;9;4;3;5;2;4;5;5;8;3;5;5;7;4;4;4;5;2;2;2;4;7;5;5;4;5;8;7;7;7;4;13;10;8;4
judgment;8;9;3;1;2;2;3;1;2;7;6;3;1;2;4;10;5;4;5;9;11;10;11;6;9;7;6;8;8;7;7;6;8;5;5;4;5;4;3;2;5;4;3;3;1;2;0;0;5;0;0;1;3;1;1;3;1
perceiv;4;2;4;3;3;5;4;3;6;2;9;3;1;4;2;1;2;5;3;5;4;6;10;11;5;5;2;3;4;5;7;7;6;2;9;4;7;8;3;5;2;2;3;3;6;8;4;5;1;1;4;4;4;7;5;6;3
perform;20;10;6;6;6;8;10;3;5;10;4;4;1;3;4;2;7;2;9;8;13;5;4;3;2;4;5;1;0;4;6;4;1;5;3;2;0;7;3;6;4;3;6;1;4;4;1;0;4;0;3;3;2;1;3;2;3
determin;13;14;12;6;2;9;10;14;12;12;15;9;1;3;2;4;6;7;6;8;1;7;5;1;5;3;2;2;4;2;1;5;6;1;4;1;2;4;4;2;2;1;4;1;2;0;5;0;2;0;0;0;0;0;2;1;1
other;7;2;3;6;3;3;8;5;4;5;7;3;3;1;3;1;2;3;4;6;8;4;6;3;0;8;6;4;3;3;4;6;3;8;4;2;6;5;7;2;5;5;3;2;1;10;6;4;2;6;2;1;5;2;7;10;2
evalu;7;6;4;6;3;9;7;9;10;9;7;4;2;4;6;0;4;3;4;6;3;4;5;9;6;3;1;4;5;3;2;4;5;5;3;3;3;3;3;7;3;2;6;3;5;3;0;3;2;2;3;2;0;3;4;6;4
analysi;0;3;2;1;3;5;3;4;3;4;5;7;3;7;10;11;10;10;7;10;12;2;4;9;8;4;4;6;4;4;4;10;7;6;3;3;2;5;3;4;1;2;4;0;1;2;2;1;0;3;2;2;0;2;2;4;1
interperson;8;9;2;3;1;2;4;3;3;6;3;3;3;5;3;5;4;5;11;3;4;4;4;5;6;7;3;10;5;5;8;3;9;10;1;3;2;2;5;3;1;4;2;1;3;7;8;4;4;1;3;0;2;1;4;2;3
situat;3;5;7;6;1;6;7;10;11;6;13;6;2;2;3;5;4;8;6;7;4;8;3;7;2;3;2;3;1;6;2;5;4;5;2;1;3;0;3;2;2;3;1;4;3;2;2;3;0;2;3;4;3;5;1;3;0
self esteem;1;0;2;3;0;6;2;5;1;2;2;1;2;0;4;3;3;0;5;2;5;6;4;2;3;5;8;4;8;4;7;5;6;7;1;5;3;9;8;4;7;3;5;5;5;5;4;2;4;4;3;6;4;7;4;3;3
evid;2;1;1;0;0;1;0;1;2;1;1;4;1;5;1;3;4;3;5;4;6;6;5;2;7;5;6;10;4;2;5;4;10;9;6;7;7;5;3;4;6;7;5;4;5;1;8;1;5;5;3;2;1;4;6;3;3
studi;9;7;8;5;2;6;3;1;6;4;5;3;3;3;3;8;4;5;7;5;9;6;6;6;5;2;1;4;6;3;3;7;3;4;0;2;5;1;2;5;4;2;2;1;4;1;1;3;1;4;2;1;2;3;5;9;0
stress;4;3;4;4;2;4;4;6;3;5;8;3;2;1;3;3;6;3;6;10;10;6;11;7;5;5;8;7;4;8;6;5;5;8;4;3;0;1;2;0;2;1;2;2;4;1;2;0;2;2;3;1;0;3;0;1;2
cultur;1;2;0;2;0;0;5;0;1;1;4;1;0;1;0;1;1;1;1;7;3;5;0;1;4;4;0;3;1;1;6;10;7;7;3;7;4;6;7;6;7;4;9;12;12;7;7;4;3;4;7;7;1;8;3;4;2
aggress;9;8;7;3;7;5;7;11;9;10;16;8;4;6;4;4;4;4;2;2;4;7;4;2;2;3;0;2;1;1;4;1;4;3;3;6;5;1;4;0;5;1;0;0;2;2;2;4;0;2;0;4;3;1;1;1;0
stereotyp;0;1;2;0;0;0;1;1;2;0;1;1;2;4;1;2;3;2;3;2;5;2;9;3;3;3;2;5;2;7;8;8;9;11;10;9;10;9;9;5;6;9;5;1;3;5;0;6;3;3;5;2;2;2;2;3;0
expect;12;9;9;2;7;6;3;3;7;12;12;4;1;2;8;1;2;3;6;1;5;8;5;3;6;4;5;6;10;0;2;2;4;4;2;0;6;1;3;4;2;2;1;2;1;3;0;0;2;1;1;0;2;0;1;1;2
