Lemma;Categoria;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
abbazia;religious (place);1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;6;0;2;1;0;0;0;0;1;0;4;5;0;0;0;0;0;0;0;0;0;1;1;6;0;2;0;1;5;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;4;0;0;2;4;2;0;1;2;0;0;0;0;68
accademia_militare;military (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
accampamento;rural (place);0;0;0;0;4;0;2;0;4;8;2;12;2;2;10;0;0;0;0;2;2;2;0;4;0;8;0;4;0;2;2;4;8;8;14;0;8;2;0;4;0;2;0;2;0;2;2;0;20;14;0;4;0;0;0;0;8;0;4;26;4;0;0;18;0;2;6;0;22;0;4;0;2;0;2;0;8;0;2;0;10;2;0;2;4;0;6;2;4;0;0;6;26;2;0;0;0;4;0;14;8;364
aerodromo;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
aerovia;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
affittacamere;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;2;1;23
albergo;commercial (place);20;7;20;5;5;1;3;15;10;33;0;4;7;3;6;4;3;4;0;18;0;6;12;13;5;37;19;11;16;6;33;30;20;5;18;20;10;13;24;17;17;9;79;7;24;18;17;98;7;14;26;36;6;30;42;49;48;23;28;74;32;37;6;52;11;37;23;23;51;41;19;67;19;40;13;9;22;41;16;23;45;30;38;71;10;28;33;27;79;32;20;42;17;47;12;33;31;61;16;80;33;2502
allevamento;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;1;0;1;0;0;0;0;1;0;8;0;2;1;0;2;1;1;0;0;0;0;2;0;0;0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;39
altoforno;industrial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
ambasciata;public (place);1;1;0;3;0;0;6;4;9;1;3;2;2;1;7;3;0;4;0;0;2;4;2;8;1;3;7;7;5;1;2;0;4;4;8;8;9;5;4;1;0;1;5;0;0;8;2;4;1;3;1;6;0;1;2;4;1;1;1;7;2;6;4;3;25;2;5;0;0;5;15;8;23;1;3;2;8;3;4;1;4;7;9;11;0;0;40;0;8;0;5;0;2;2;1;11;3;9;2;1;10;425
